geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
PSMB6	2	60	2	7	870	492	621	3134	67	941	412	13069	208	259	1289	1074	83	64	1369	0	195	1756	1157
PLD2	5	83	3	0	7	7	69	475	1	6	3	1	8	0	2	69	11	91	14	0	218	10	80
CHRNE	2	4	2	6	0	5	1757	52	44	90	8	22	2	0	12	2	6	8	11	0	0	14	8
C17orf107	2	2	2	6	0	3	10	15	10	35	8	22	2	0	12	2	6	6	9	0	45	14	8
SLC25A11	4215	1	8	2	12	675	349	508	80	341	3	3	0	189	3	20895	1529	4224	689	0	5230	192	22424
RNF167	158	161	4	236	3	2312	663	847	145	315	112	179	1	3	1	0	1	323	2551	0	1425	5	1
PFN1	11148	10440	1268	200	1513	10249	15280	25445	3331	21168	8149	15847	10761	10376	5167	20051	9681	22856	11962	0	16	26304	29732
ENO3	0	0	9	4	17	10	10	729	1	9	0	2	15	14	6	12	11682	9	31	0	950	35	11694
SPAG7	80	1019	12	2	35	118	223	2320	162	417	101	51	223	376	95	1	36	1111	155	0	950	694	37
CAMTA2	114	6	6	3	14	40	1502	1367	3	24	65	3924	3158	22	1	5451	1282	126	57	0	295	3181	6733
INCA1	10	1	0	2	1	94	3	1	1	3	0	0	2	2	1	0	7	11	97	0	165	5	7
KIF1C	495	4547	14	6	4728	2193	2138	3006	445	718	194	10	2229	4113	372	2434	400	5056	6927	0	48	6714	2834
GPR172B	7	13	11	8	13	2	27	6	3	17	0	2	5	0	1	11	0	31	23	0	164	6	11
ZFP3	15	881	9	4	13	95	18	33	2	37	2	6	3	0	2	3	1	905	112	0	8888	5	4
ZNF232	945	1410	2433	100	1877	433	1677	483	751	3145	1162	637	1388	990	434	987	589	4788	2410	0	16993	2812	1576
USP6	325	95	66	218	78	262	433	314	53	95	284	201	455	116	113	827	118	486	558	0	13518	684	945
DQ586040	0	9	43	0	23	12	0	0	0	0	0	0	13	62	3	33	0	52	35	0	13518	78	33
DQ570124	0	9	43	0	23	12	0	0	0	0	0	0	13	62	3	33	0	52	35	0	13518	78	33
DQ576627	0	9	43	0	23	12	0	26	0	8	0	0	13	62	3	33	0	52	35	0	13518	78	33
DQ573130	0	9	43	0	23	12	0	0	0	0	0	0	13	62	3	33	0	52	35	0	13518	78	33
LOC100130950	14	657	63	2	71	19	88	33	8	29	1	12	23	1693	11	60	6195	734	92	0	13518	1727	6255
SCIMP	12	38	57	1	49	16	15	31	0	26	1	1	15	1690	10	52	6193	107	66	0	3386	1715	6245
RABEP1	2615	3428	937	6	12248	1595	6671	1927	43	628	50	634	10315	782	8105	17164	1145	6980	13849	0	37026	19202	18309
Nup88	1813	303	636	2	5129	1266	2487	415	27	408	37	618	6208	450	7763	6888	493	2752	6397	0	4408	14421	7381
NUP88	231	1493	59	5	60	1851	2077	1189	222	723	14	12	1636	2545	719	617	69	1783	1916	0	4528	4900	686
RPAIN	536	660	45	612	107	1036	1787	4673	169	1032	10	1810	9539	1251	36	667	81	1241	1755	0	10831	10826	748
AK098491	10	9	44	5	23	15	5	5	2	22	6	0	5718	62	5	34	1	63	43	0	2093	5785	35
C1QBP	2462	2726	48	1334	1136	1450	3789	2150	612	2445	1616	4776	6002	6059	5957	10353	1573	5236	3920	0	2353	18018	11926
DHX33	2268	589	55	26	30	1898	1692	1466	336	568	131	837	2029	1659	3	784	92	2912	1954	0	2353	3691	876
DERL2	156	255	48	2	2349	297	393	91	30	1552	3	13	2150	206	6	35	1498	459	2648	0	35	2362	1533
MIS12	220	233	332	6	584	1379	2946	4223	77	462	70	60	2725	2273	51	456	114	785	1969	0	47	5049	570
NLRP1	241	5156	10665	167	160	2859	2746	555	264	313	131	36	542	57	24	66	16	16062	3186	0	2272	623	82
LOC339166	71	48	118	18	42	7	97	25	34	61	32	31	57	91	64	97	126	237	67	0	96	212	223
WSCD1	5	10	33	9	12	23	32	32	47	25	28	12	17	4	24	16	9	48	44	0	2679	45	25
AIPL1	2	2	5	0	4	2	3	1	2	0	0	0	2	0	2	8	4	9	6	0	5867	4	12
FAM64A	2	2	0	1	23	5	895	0	0	3	3	2	14	7	5	2	1	4	29	0	18151	26	3
PITPNM3	55	481	449	13	283	349	38	16	17	210	15	10	51	39	26	60	28	985	645	0	18151	116	88
KIAA0753	27	1279	37	14	2157	1192	1581	302	63	1282	129	932	9032	52	4	11	7	1343	3363	0	1822	9088	18
TXNDC17	1046	1151	4	861	37	953	3120	608	89	815	103	201	1437	852	1	16	72	2201	1851	0	1822	2290	88
MED31	4	3605	3	0	58	278	439	329	132	797	2	154	2730	158	0	929	62	3612	336	0	1822	2888	991
SLC13A5	8	7	24	70	12	5	25	5	5	11	6	7	12	17	4	20	10	39	87	0	1738	33	30
XAF1	4	2	4	3	625	16	218	123	3	2	182	6	8	1	0	2	3	10	644	0	21144	9	4
TEKT1	7	19	5	5	25	4	6	1	3	4	3	2	5	5	1	6	2	31	34	0	2289	11	8
ALOX12P2	17	27	31	2	27	2	114	5	9	59	11	17	6	5	7	9	8	75	31	0	51	18	17
ALOX12	0	2	5	1	18	4	53	3	0	4	0	3	1	0	0	2	1	7	23	0	977	1	3
LOC100506713	70	4	12	147	22	9	61	4	0	4	0	3	9	11	0	13	4	86	178	0	977	20	17
RNASEK	220	1604	6	16	1620	2365	8496	8455	819	2877	1206	4165	3102	2046	93	549	834	1830	4001	0	518	5241	1383
C17orf49	224	1609	8	378	1621	2365	10285	10769	1195	2880	1207	4175	6268	2046	106	549	837	1841	4364	0	544	8420	1386
BCL6B	0	0	4	0	0	0	1	0	0	5	0	0	1	0	0	0	2	4	0	0	544	1	2
SLC16A13	2	1	5	0	0	0	1	2110	2	1	0	1	0	0	0	0	2	8	0	0	544	0	2
SLC16A11	0	0	3	0	2	0	0	42	0	2	0	0	3	2	2	0	2	3	2	0	2415	7	2
CLEC10A	0	0	3	0	0	2	0	0	2	0	0	0	2	0	0	0	0	3	2	0	2415	2	0
ASGR2	3	21	25	2	7	1	5	2	2	1	2	2	2	4	3	5	1	49	10	0	8971	9	6
ASGR1	14	7	62	16	26	66	28	30	6	292	6	28	12	10	69	13	25	83	108	0	31699	91	38
DLG4	4	10	19	11	12	832	2060	1567	3	8	2	5	986	8	7	360	157	33	855	0	674	1001	517
ACADVL	744	837	12	26	70	865	3597	11845	661	1475	399	1125	4116	4318	292	4219	1099	1593	961	0	22462	8726	5318
MIR324	0	0	3	0	0	0	0	140	0	0	0	0	135	11	0	0	0	3	0	0	22462	146	0
DVL2	1	4	27	6	7	7	1777	613	19	8	4	4	2	4	1462	7	17179	32	20	0	31139	1468	17186
PHF23	1	1390	11	2	146	412	328	3112	430	1788	1	3	4186	1271	13	0	4683	1402	560	0	29049	5470	4683
GABARAP	158	303	8	2	58	1270	2493	16479	420	1337	829	334	1038	3	2441	5482	3143	469	1330	0	46	3482	8625
CTDNEP1	147	1026	9	107	23	670	2670	3350	261	268	161	16076	2088	865	148	2	686	1182	800	0	61	3101	688
C17orf81	6	2	7	0	167	1078	463	4945	25	752	6	8	539	30	2	1486	106	15	1245	0	201	571	1592
CLDN7	2	0	3	0	0	0	52	263	25	452	0	2	2	757	2	34	18	5	0	0	46	761	52
SLC2A4	31	9	10	3	16	8	25	2	7	45	9	9	26	8	6	15	6	50	27	0	68	40	21
YBX2	6	1	30	0	3	0	6	2	0	14	4	10	10	14	10	4	2	37	3	0	5	34	6
EIF5A	1245	2704	18	9507	1305	4697	6702	6295	307	6931	7359	1018	4963	3791	2444	2770	12750	3967	15509	0	5848	11198	15520
GPS2	956	30	28	156	97	1332	948	2296	46	1825	3	410	135	208	72	2140	136	1014	1585	0	3108	415	2276
NEURL4	956	943	28	156	543	1332	948	2296	46	1825	6	410	135	208	73	2140	136	1014	1585	0	3096	415	2276
ACAP1	5	1	11	3	14	5	296	2	3	12	0	0	5	10225	4	6	5	17	22	0	221	10234	11
KCTD11	0	0	4	1	5	1479	156	1309	1	2	3	2	2	2	0	2005	840	4	1485	0	7	4	2845
TMEM95	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	16	0	0
TNK1	10	5	3	4	9	53	94	5828	29	3	0	15	0	159	1	0	0	18	66	0	8	160	0
PLSCR3	3	2	8	0	1	546	947	481	55	25	502	3	6	31	0	3	5	13	547	0	2056	37	8
C17orf61	1	0	0	0	0	0	291	93	1	13	497	2	0	0	0	0	0	1	0	0	78	0	0
NLGN2	2	0	5	157	4129	338	607	179	90	153	1	2	1584	478	1	10	143	7	4624	0	78	2063	153
SPEM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
C17orf74	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	325	2	0
TMEM102	6	0	33	0	0	0	0	2	0	2	0	0	5	6	0	6	4	39	0	0	325	11	10
FGF11	10	3	54	4	1	25	4	16	5	31	10	5	14	18	1	14	14	67	30	0	3550	33	28
CHRNB1	62	5	6	7	97	3	1187	4976	5	580	14	5	90	4	2	7	38	73	107	0	5901	96	45
ZBTB4	1352	9480	9	1027	14373	2806	6381	3800	97	2711	4462	3304	1589	2599	5305	1203	3125	10841	18206	0	3449	9493	4328
POLR2A	4872	7402	29	20090	776	7711	5979	4657	363	4661	635	16371	6872	7927	4833	1142	2094	12303	28577	0	278	19632	3236
TNFSF12	2	0	6	1	2	2	80	94	1	61	3	1	2	5	0	1698	82	8	5	0	599	7	1780
TNFSF12-TNFSF13	2	1070	6	1	2	2	253	102	3	64	4	1	2	5	0	1698	82	1078	5	0	2738	7	1780
TNFSF13	0	1070	0	0	0	0	173	8	2	3	1	0	0	0	0	0	0	1070	0	0	8696	0	0
SENP3	8	9	8	3	4059	852	576	3745	58	1128	923	141	140	11	4780	10	9135	25	4914	0	4333	4931	9145
EIF4A1	4974	5265	4985	9101	5634	6102	12700	8987	1233	8109	4696	3833	5154	5585	8766	3882	10159	15224	20837	0	11185	19505	14041
SNORA48	296	81	1	28	8	100	909	483	235	39	68	25	2	13	0	5	0	378	136	0	11185	15	5
SNORD10	2	7	0	0	0	6	166	0	0	4	0	0	2	0	3	0	26	9	6	0	11185	5	26
CD68	748	17	10457	1	70	1908	6715	35813	316	2224	7215	9186	3056	6316	1261	4	6888	11222	1979	0	26101	10633	6892
MPDU1	3779	6	7	1	1955	182	201	2588	4	1021	270	57	479	93	204	3605	723	3792	2138	0	26225	776	4328
SOX15	2	0	1	0	1	0	1	23	0	3	0	0	1	2	204	1937	115	3	1	0	26225	207	2052
FXR2	3729	21	23	9343	3592	1675	1223	1682	129	409	183	58	239	92	24	994	547	3773	14610	0	12	355	1541
SAT2	3	137	2	0	1415	1074	190	2780	51	263	3	706	23	723	0	184	10	142	2489	0	1296	746	194
SHBG	10	147	3	3	1421	1075	299	2836	53	275	9	715	32	726	9	186	11	160	2499	0	7161	767	197
ATP1B2	0	0	2	2	0	2	3	0	1	2	0	2	0	0	0	0	0	2	4	0	4	0	0
TP53	1135	5	19	9	67	1360	3197	881	122	436	988	9	240	8378	6945	703	626	1157	1433	0	3954	15559	1328
WRAP53	4	5	4	2	11	167	52	258	9	160	16	1304	951	6	0	3	1	13	180	0	9254	957	4
EFNB3	2	0	13	0	0	0	0	0	0	0	2	0	4	2	2	6	7	15	0	0	19	8	13
DNAH2	7572	71	67	2633	126	1018	4435	2784	313	123	204	309	6567	2636	26	103	19	7710	3777	0	1392	9229	122
RPL29P2	4	2	0	0	0	68	41	42	26	33	1	144	0	7	16	53	1	6	68	0	10	23	54
KDM6B	2	4	18	7	6	7	490	3813	15	58	0	5	13	4	310	6	8	24	20	0	10	327	14
TMEM88	0	0	2	2	1	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	19	2	0
LSMD1	0	137	1	2	1276	31	698	805	243	70	445	500	628	611	348	0	5	138	1309	0	19	1587	5
CYB5D1	444	0	11	2496	6	454	127	41	0	75	0	4	830	2	6	0	3	455	2956	0	19	838	3
CHD3	309	3433	34	23709	14898	1334	880	1038	836	1380	803	17	3502	3605	1748	5199	3506	3776	39941	0	33	8855	8705
SCARNA21	0	0	0	2	0	0	0	0	0	0	0	0	5	1	2	0	0	0	2	0	33	8	0
LOC284023	319	3	1	2	21	14	0	353	2	1	173	0	2	1	2	1	0	323	37	0	33	5	1
KCNAB3	4	4	0	2	319	0	0	2	4	4	0	0	0	0	2	0	0	8	321	0	2280	2	0
TRAPPC1	4	10	1028	70	6	4010	1222	2584	233	668	3076	3	30	528	10	0	0	1042	4086	0	95	568	0
CNTROB	1	48	10	4	14	505	1153	599	51	5	2091	4	9695	931	3992	3735	246	59	523	0	2280	14618	3981
GUCY2D	3	3	13	4	2	0	2	0	2	6	0	2	9	2	4	22	0	19	6	0	19	15	22
ALOX15B	0	0	9	4	1	0	0	1	2	0	2	1	0	0	2	0	0	9	5	0	2280	2	0
AX747630	0	0	0	2	0	0	2	2	0	0	0	0	0	0	2	0	0	0	2	0	573	2	0
ALOX12B	83	91	230	14	92	32	17	6	9	35	3	9	220	217	132	187	252	404	138	0	573	569	439
ALOXE3	4	6	5	0	1	1	74	1	0	5	2	4	2	1	2	4	2	15	2	0	2280	5	6
HES7	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	563	0	1
PER1	37	22	55	427	42	36	5	61	1	3	2	3	74	26	26	1463	126	114	505	0	807	126	1589
TMEM107	1653	2	2	0	4	74	720	547	8	214	3	1	2542	1	0	0	2	1657	78	0	289	2543	2
AURKB	425	33	8	7	5552	2841	2848	1	3	610	2	2	2238	1363	4159	4075	5188	466	8400	0	986	7760	9263
LINC00324	4	0	2	0	7	0	2	134	0	5	0	0	7	5	202	26	253	6	7	0	64	214	279
CTC1	210	9	397	35	384	63	2565	600	21	83	4	304	3581	8	15628	65	10	616	482	0	3289	19217	75
PFAS	67	72	14	2	48	308	434	11	82	233	39	6	218	289	5	3287	3259	153	358	0	371	512	6546
SLC25A35	203	369	2	0	34	9	1300	233	1	7	421	2	30	62	3	84	4	574	43	0	284	95	88
RANGRF	203	369	0	0	34	9	1288	233	1	7	421	2	30	62	3	84	4	572	43	0	1078	95	88
ARHGEF15	1	1	6	2	2	0	2	2	2	6	2	0	4	1	6	0	2	8	4	0	1649	11	2
ODF4	4	4	5	0	3	0	0	0	0	2	0	1	1	0	2	9	3	13	3	0	500	3	12
KRBA2	2	22	3	2	0	2	20	2	0	99	0	1	7	3	2	26	1	27	4	0	1121	12	27
RPL26	10508	12888	28314	15718	8676	9761	3020	3229	2360	3692	1729	4002	10426	9152	4737	8044	7713	51710	34155	0	1297	24315	15757
NDEL1	1143	2991	5	3	506	575	1938	4236	31	165	16	521	432	100	1777	26	3621	4139	1084	0	1297	2309	3647
AK095179	65	634	0	0	287	202	457	1446	16	4	5	3	149	4	0	0	2	699	489	0	1297	153	2
MYH10	196	5828	962	35	4930	1134	5239	736	73	821	565	1301	3032	469	128	7317	618	6986	6099	0	1908	3629	7935
CCDC42	4	0	125	2	2	0	1	2	3	3	2	0	2	0	0	2	3	129	4	0	653	2	5
MFSD6L	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	191	0	0
PIK3R6	22	49	121	3	19	1253	83	13	4	14	24	22	37	34	16	75	46	192	1275	0	218	87	121
PIK3R5	4172	182	7646	3998	1637	1104	27	12	12	30	8	22	21	16	6	21	8	12000	6739	0	2537	43	29
NTN1	87	131	267	45	101	29	122	405	35	98	47	29	47	46	44	89	55	485	175	0	4843	137	144
STX8	12703	9437	488	65	17526	1739	1569	275	171	670	83	274	466	2814	65	1778	967	22628	19330	0	4843	3345	2745
WDR16	13	28	28	2	25	6	57	25	6	25	11	19	20	8	7	21	8	69	33	0	7182	35	29
USP43	44	49	71	14	52	5	205	18	17	20	3452	11	366	395	112	122	152	164	71	0	7182	873	274
GLP2R	336	153	1130	54	205	145	59	26	55	176	74	36	562	415	251	529	357	1619	404	0	70	1228	886
RCVRN	0	0	12	0	1	0	1	0	0	0	0	2	2	4	0	11	0	12	1	0	36	6	11
GAS7	94	112	5936	28	127	910	145	109	57	129	101	79	124	83	77	142	100	6142	1065	0	73605	284	242
MYH13	13	29	27	10	22	7	155	32	33	76	91	83	28	4	10	20	9	69	39	0	73605	42	29
AK097500	73	51	85	16	63	23	108	50	48	77	45	58	62	32	23	31	38	209	102	0	369	117	69
MYH8	31	10	28	9	26	16	12	19	8	14	14	11	26	10	17	14	13	69	51	0	377	53	27
MYH4	7	5	8	3	2	0	5	3	8	6	4	4	1	1	0	0	2	20	5	0	377	2	2
MYH1	5	3	10	2	6	3	9	5	4	22	8	6	2	2	0	1	5	18	11	0	377	4	6
MYH2	1	13	6	0	1	0	6	9	10	5	2	10	9	2	1	2	2	20	1	0	66	12	4
MYH3	16	5	11	0	3333	5	39	17	0	811	6	13	4	138	1	103	14	32	3338	0	67	143	117
SCO1	597	10	11	4	6305	14	903	332	4	86	26	0	602	504	485	1226	71	618	6323	0	7	1591	1297
C17orf48	283	3	4	0	11	8	96	603	37	189	1	124	2	0	0	1239	59	290	19	0	73605	2	1298
TMEM220	16	14	10	0	5	25	36	10	11	223	0	111	16	5	3	4	0	40	30	0	1073	24	4
LOC100289255	0	1	0	2	0	0	57	1	0	2	0	2	0	0	0	0	0	1	2	0	1143	0	0
SHISA6	169	147	140	26	136	77	157	54	56	188	89	129	179	112	43	125	123	456	239	0	63826	334	248
DNAH9	1623	799	2096	356	1169	669	962	459	475	2410	1348	602	1699	1330	637	1237	973	4518	2194	0	73605	3666	2210
ZNF18	8	5	6	1	4	9	25	6	2	53	6	6	8	4	1	12	8	19	14	0	13515	13	20
MAP2K4	1569	4062	52	39	6712	403	3631	491	26	650	84	170	1444	218	27	3404	3863	5683	7154	0	73605	1689	7267
FLJ34690	45	26	61	9	19	7	27	10	13	25	13	23	15	27	8	25	13	132	35	0	607	50	38
MYOCD	55	29	29	15	55	28	58	15	23	76	35	12	42	32	12	38	20	113	98	0	13834	86	58
ARHGAP44	58	50	207	24	54	12	181	28	38	84	31	31	31	30	14	62	36	315	90	0	73605	75	98
ELAC2	6804	69	4	0	2108	76	980	2208	317	1516	248	14	393	12	886	3	2377	6877	2184	0	72680	1291	2380
HS3ST3A1	47	22	76	5	43	20	176	160	19	43	10	27	41	30	12	48	53	145	68	0	65	83	101
AK123263	420	2	12	5	3	3	2	0	6	5	0	2	6	0	3	2	2	434	11	0	390	9	4
CDRT15P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	24	0	2
AK123100	205	5489	135	1171	23924	518	129	3	16	429	6	10	2185	826	26	7928	654	5829	25613	0	24	3037	8582
COX10	2087	3272	28	42	2368	546	2961	18	48	185	750	10	5784	3660	8	4493	321	5387	2956	0	1315	9452	4814
HS3ST3B1	5	7	53	5	245	8	438	8	42	78	96	4	169	63	11	8643	563	65	258	0	5552	243	9206
PMP22	13	7972	49	12	70	6725	4171	2989	369	141	2439	19	989	12739	8	464	2489	8034	6807	0	9529	13736	2953
TEKT3	15	19	18	3	21	5	15	5	3	5	1	1	53	3	4	13	18	52	29	0	254	60	31
BC037357	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	100	2	0
CDRT4	26789	9841	6928	3848	12503	2064	7784	683	66	860	601	315	10978	4913	2101	4652	2213	43558	18415	0	644	17992	6865
FAM18B2	23566	8959	85	3556	10189	878	5553	338	26	172	148	32	4883	2342	12	806	106	32610	14623	0	61998	7237	912
TRIM16	539	901	179	1368	2368	1479	7886	149	336	2617	1213	2135	17415	7714	1826	8060	10881	1469	5188	0	22	26550	18941
CDRT1	13	12	148	0	21	7	76	8	73	37	9	6	19	9	5	9	14	173	28	0	61996	33	23
ZNF286A	7386	5647	16	9	1646	2526	1526	1028	317	353	1039	524	10026	3411	1078	4048	287	13049	4181	0	61996	14515	4335
TBC1D26	0	2	2	2	4	4	2	0	2	2	4	0	2	0	2	2	2	4	10	0	420	4	4
MEIS3P1	92	166	9	54	91	323	377	1082	356	460	14	60	154	400	116	16091	1232	267	468	0	147	670	17323
ADORA2B	9114	6179	18	0	1157	621	6488	1481	36	721	2487	1233	215	158	4	28	4	15311	1778	0	11	377	32
ZSWIM7	205	283	7	0	21	767	5528	705	37	230	11	18	891	150	4	402	345	495	788	0	1812	1045	747
TTC19	7134	5638	11	5439	5044	1282	6140	2337	68	659	533	1577	2323	699	9658	2647	720	12783	11765	0	1554	12680	3367
NCOR1	2694	13377	2586	959	6854	4956	7471	6374	192	916	3429	4964	10934	4729	3332	14404	3208	18657	12769	0	12132	18995	17612
PIGL	139	4998	115	21	3186	8	1945	1273	25	222	23	20	1643	2495	64	147	55	5252	3215	0	12447	4202	202
CENPV	433	54	79	18	173	16	646	128	3	49	18	3857	1212	139	50	120	40	566	207	0	530	1401	160
TRPV2	105	56	264	15	69	0	11	2	3	9	2	1	108	144	53	119	43	425	84	0	21	305	162
C17orf76-AS1	3228	1765	125	3606	500	8832	4359	2629	264	2282	977	428	2824	1952	4604	4077	1338	5118	12938	0	12447	9380	5415
SNORD65	166	52	76	76	67	5	0	0	0	0	0	0	103	138	53	144	37	294	148	0	1527	294	181
FAM211A	224	134	141	74	133	19	252	27	20	30	9	14	135	187	181	177	56	499	226	0	5777	503	233
ZNF287	108	55	87	18	64	0	10	0	0	2	2	3	108	140	51	124	40	250	82	0	811	299	164
CCDC144A	502	1229	130	18	3580	1607	1786	3099	161	525	575	132	1510	1135	830	1210	448	1861	5205	0	813	3475	1658
USP32P1	4347	12639	36	735	4837	2080	3919	3424	154	612	706	156	3617	1165	868	3125	7740	17022	7652	0	19357	5650	10865
FAM106CP	0	0	0	0	66	0	0	0	0	0	0	0	175	0	0	0	0	0	66	0	598	175	0
FLJ00050	0	0	2	0	2	2	0	0	0	0	0	4	1	2	0	0	0	2	4	0	6196	3	0
TNFRSF13B	9	12	78	1260	12	3	15	4	4	14	37	15	12	4	12	12	7	99	1275	0	6196	28	19
MPRIP	11552	3263	84	1500	1655	1963	14170	12021	373	1760	2864	464	8546	822	1872	7359	1251	14899	5118	0	19357	11240	8610
PLD6	264	459	7	131	3071	90	1860	2098	62	1064	1056	333	940	631	280	1488	1378	730	3292	0	1879	1851	2866
FLCN	258	458	6	131	3069	88	1764	2069	62	1003	1056	329	938	328	280	1310	1371	722	3288	0	1711	1546	2681
COPS3	56	192	29	10	1888	706	2095	645	203	1999	147	6185	1625	67	403	1214	2655	277	2604	0	33617	2095	3869
NT5M	26	14	1013	13	15	4	116	5	5	20	4	6	15	13	11	14	3	1053	32	0	18979	39	17
MED9	3	49	2	339	1091	1	567	385	3	6	233	2	127	13	71	0	2	54	1431	0	18979	211	2
RASD1	0	0	0	0	0	0	0	2	0	2	0	0	0	9	0	0	0	0	0	0	17346	9	0
PEMT	996	1377	244	204	346	773	622	639	63	614	263	572	1011	546	606	678	3005	2617	1323	0	33613	2163	3683
RAI1	1282	683	46	1	2583	387	3142	224	51	99	440	28	672	628	21	395	86	2011	2971	0	38	1321	481
SREBP-1	4	83	0	0	58	185	29	9	0	2	0	12	141	469	8	128	58	87	243	0	936	618	186
SREBF1	14	135	20153	11	78	215	516	269	3	13	2	23	159	482	14	140	98	20302	304	0	1427	655	238
TOM1L2	1589	725	197	489	9938	149	1886	2406	60	294	113	3407	222	418	42	411	132	2511	10576	0	33613	682	543
ATPAF2	64	2262	11	2	19	2	661	83	59	29	13	5	503	15	21	16	1397	2337	23	0	4138	539	1413
C17orf39	8	15	18	1	1	621	466	138	1029	42	5	7	34	2	6	3	1	41	623	0	1493	42	4
DRG2	437	2	12	5859	524	6	420	947	10	485	42	741	230	336	84	7	15	451	6389	0	4138	650	22
MYO15A	8	8	20	10	9	6	282	2	9	38	10	10	5	5	4	13	4	36	25	0	26553	14	17
BC038464	0	4	1	3	1	11	11	3	6	110	3	1247	0	1	16	4	0	5	15	0	3169	17	4
LLGL1	1	4	7	0	6	26	64	1845	135	105	1	7	249	3	2125	11	6	12	32	0	3169	2377	17
FLII	59	312	7	290	5906	1883	5789	18100	75	2086	2081	3552	1856	851	8363	69	7	378	8079	0	3169	11070	76
SMCR7	3	0	2	0	2	0	248	0	0	2	1	317	0	0	0	0	2	5	2	0	7343	0	2
TOP3A	16	238	6	14	12696	479	2082	951	60	2442	1851	19	742	15	8	22	305	260	13189	0	7343	765	327
SMCR8	2206	289	6	0	63	3334	4259	2152	204	1000	431	48712	57	5	698	785	31	2501	3397	0	13	760	816
SHMT1	16	3752	12	3	63	388	142	64	24	312	251	1436	66	139	23	2263	320	3780	454	0	30182	228	2583
AX747021	0	5	0	0	0	0	1	0	0	0	0	156	0	0	0	0	0	5	0	0	60	0	0
EVPLL	0	0	1	2	1	0	37	6	2	1	0	0	2	0	0	0	3	1	3	0	56	2	3
DQ576083	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DQ585755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DQ595911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
DQ579248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
DQ592713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
DQ572309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AX748015	0	1	6	0	2	0	1	0	2	1	0	0	2	0	0	0	1	7	2	0	0	2	1
LOC339240	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0
LGALS9C	5	2	8	0	4	0	5	5	2	2	3	1	2	1	0	7	0	14	4	0	2729	3	7
USP32P2	5020	13301	15	1927	3496	423	5675	570	30	237	133	118	3412	50	59	6550	9149	18336	5846	0	56	3521	15699
FAM106A	0	1	0	0	105	0	1	0	0	0	0	0	281	0	0	0	0	1	105	0	0	281	0
CCDC144B	5507	15759	138	14	5241	645	3234	4348	289	284	271	784	3525	760	63	4026	771	21404	5900	0	19	4348	4797
TBC1D28	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	2	0	0	0	6	1	2
TRIM16L	1774	865	40	2267	1972	3393	4736	213	97	3435	2217	989	19883	7416	1335	5744	12022	2679	7632	0	389	28634	17766
FBXW10	10	16	21	1	27	6	38	8	75	46	20	10	20	13	2	20	11	47	34	0	7761	35	31
FAM18B1	7641	3145	25	0	915	1058	1923	261	14	94	419	9	445	1895	2	233	104	10811	1973	0	10	2342	337
PRPSAP2	118	5664	63	30	1300	870	468	676	257	351	146	70	631	70	66	1244	177	5845	2200	0	1036	767	1421
SLC5A10	32	840	16	1	4345	185	736	2623	45	602	3	7	53	6	9	16	48	888	4531	0	11	68	64
BC029877	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	3	0	2	0	0	0	0	3
FAM83G	31	8	6	1	5	185	33	217	10	346	0	2	42	5	3	9	3	45	191	0	0	50	12
BC112347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAP	2	7	16	0	3	8	1	4	1	7	1	2	11	4	381	7	8	25	11	0	0	396	15
BC058012	0	0	5	0	0	4	4	0	2	2	0	2	0	0	2	2	0	5	4	0	0	2	2
EPN2	291	33	75	6	3787	15	1335	424	113	402	1520	35	230	15	12	25	9	399	3808	0	7511	257	34
AX748411	0	0	16	0	2	1	135	0	0	0	2	1	0	1	0	2	0	16	3	0	0	1	2
