gene	T1a	T1b	T2	T3	N1	N2
Gene_02371	12	4	12	8	15	18
Gene_02372	64	36	90	27	9	36
Gene_02373	118	81	400	340	217	652
Gene_02374	1	0	0	0	0	2
Gene_02375	0	4	3	0	0	8
Gene_02376	68	13	140	618	69	78
Gene_02377	41	25	2	50	166	6
Gene_02378	129	134	96	466	207	131
Gene_02379	0	0	51	18	38	8
Gene_02380	2	0	5	6	31	8
Gene_02381	159	191	2201	2416	1688	696
Gene_02382	8	5	3	11	22	5
Gene_02383	1	0	0	0	6	29
Gene_02384	2	3	7	0	7	25
Gene_02385	8	2	44	7	3	2
Gene_02386	95	78	2	21	1	1
Gene_02387	170	143	275	272	482	464
Gene_02388	1	0	5	0	0	1
Gene_02389	111	155	421	216	161	102
Gene_02390	26	21	65	54	88	76
Gene_02391	883	880	1383	397	1019	1094
Gene_02392	109	88	114	175	210	115
Gene_02393	0	0	0	0	1	0
Gene_02394	99	59	215	902	503	169
Gene_02395	4	0	2	23	0	2
Gene_02396	5	1	13	0	21	4
Gene_02397	4	0	12	6	8	1
Gene_02398	35	70	110	222	192	32
Gene_02399	657	475	1098	1298	2115	690
Gene_02400	116	128	494	274	72	76
Gene_02401	93	140	440	851	630	371
Gene_02402	28	17	73	61	80	40
Gene_02403	0	0	0	0	1	1
Gene_02404	259	316	196	648	731	198
Gene_02405	1621	1481	1614	1904	2245	2922
Gene_02406	0	0	0	0	2	0
Gene_02407	1	0	1	0	0	0
Gene_02408	68	50	353	236	112	39
Gene_02409	42	27	36	54	138	49
Gene_02410	65	62	166	83	91	42
Gene_02411	8	4	7	298	23	10
Gene_02412	42	66	41	148	60	34
Gene_02413	26	15	91	45	48	55
Gene_02414	43	22	184	47	19	49
Gene_02415	7	3	29	18	7	24
Gene_02416	164	104	340	249	381	160
Gene_02417	0	0	7	12	0	0
Gene_02418	2	1	2	9	4	0
Gene_02419	0	0	0	0	3	0
Gene_02420	5827	3938	18800	5592	26430	9071
Gene_02421	0	0	0	0	1	3
Gene_02422	2	2	10	0	0	1
Gene_02423	1	0	1	0	0	0
Gene_02424	0	0	1	1	7	0
Gene_02425	3	2	27	16	4	9
Gene_02426	88	75	372	157	210	176
Gene_02427	16	4	21	11	24	20
Gene_02428	1	0	2	0	0	3
Gene_02429	11	16	41	51	60	34
Gene_02430	767	508	573	706	650	281
Gene_02431	37	29	78	38	99	183
Gene_02432	117	142	315	198	365	131
Gene_02433	50	38	137	56	33	42
Gene_02434	1	0	16	5	0	5
Gene_02435	264	292	1170	2138	1012	377
Gene_02436	0	0	4	0	0	2
Gene_02437	10	2	0	0	0	0
Gene_02438	101	33	3	153	219	83
Gene_02439	31	72	80	220	55	12
Gene_02440	156	147	1038	257	625	326
Gene_02441	45	22	37	7	21	13
Gene_02442	12	8	23	122	34	42
Gene_02443	261	138	75	2794	271	103
Gene_02444	3	4	11	3	5	6
Gene_02445	24	40	152	165	26	19
Gene_02446	0	0	0	1	0	0
Gene_02447	3	1	15	0	2	8
Gene_02448	4	4	8	25	8	19
Gene_02449	0	1	4	0	1	0
Gene_02450	82	104	118	76	69	68
Gene_02451	69	80	243	833	3	1
Gene_02452	0	0	0	3	0	0
Gene_02453	38	28	92	21	77	32
Gene_02454	250	93	348	199	308	356
Gene_02455	0	0	1	1	0	0
Gene_02456	36	19	66	1	33	22
Gene_02457	88	43	196	247	165	138
Gene_02458	6	9	1	10	19	32
Gene_02459	2	0	3	0	0	0
Gene_02460	54	91	259	413	812	182
Gene_02461	11	13	59	80	23	18
Gene_02462	0	0	3	4	2	0
Gene_02463	7	0	6	5	0	0
Gene_02464	188	111	290	116	197	159
Gene_02465	42	40	188	82	106	55
Gene_02466	4	2	2	0	3	0
Gene_02467	93	95	267	93	72	154
Gene_02468	116	93	397	623	489	260
Gene_02469	0	0	26	15	0	2
Gene_02470	21	11	49	20	56	28
Gene_02471	40	22	83	35	47	62
Gene_02472	11	8	65	59	86	43
Gene_02473	172	206	631	410	204	249
Gene_02474	0	0	1	0	0	0
Gene_02475	0	2	0	0	0	2
Gene_02476	0	0	0	0	6	0
Gene_02477	0	0	0	6	0	0
Gene_02478	1435	2091	4996	1818	3121	1128
Gene_02479	0	0	25	30	0	16
Gene_02480	2	0	1	3	5	3
Gene_02481	0	0	10	9	0	3
Gene_02482	25	19	49	43	147	65
Gene_02483	31	30	148	108	84	82
Gene_02484	3	6	23	20	26	18
Gene_02485	151	118	894	353	563	337
Gene_02486	138	113	274	460	307	141
Gene_02487	0	0	0	2	0	1
Gene_02488	11	5	27	1	2	51
Gene_02489	0	1	8	0	0	3
Gene_02490	6	6	10	4	4	3
Gene_02491	73	34	94	116	65	52
Gene_02492	0	0	0	0	0	1
Gene_02493	54	46	41	120	658	274
Gene_02494	124	169	135	209	172	123
Gene_02495	0	0	0	2	0	0
Gene_02496	28	47	83	52	33	1
Gene_02497	3	2	2	39	35	15
Gene_02498	0	7	5	16	16	8
Gene_02499	80	68	262	237	106	96
Gene_02500	14	10	25	49	15	986
Gene_02501	7	5	2	52	43	21
Gene_02502	202	150	325	287	776	197
Gene_02503	3	5	18	0	6	13
Gene_02504	19	14	26	0	105	69
Gene_02505	2	1	32	2	11	10
Gene_02506	159	101	107	145	130	39
Gene_02507	129	188	119	189	907	305
Gene_02508	0	0	4	0	15	2
Gene_02509	0	0	1	5	0	3
Gene_02510	336	403	723	275	649	603
Gene_02511	0	0	0	0	0	1
Gene_02512	47	43	133	76	155	75
Gene_02513	71	59	313	260	672	180
Gene_02514	27	29	40	20	54	22
Gene_02515	1	5	0	29	22	3
Gene_02516	592	703	1249	1038	1428	1106
Gene_02517	15	11	20	10	40	10
Gene_02518	120	149	218	158	125	71
Gene_02519	7	10	168	64	144	54
Gene_02520	48	17	292	174	80	91
Gene_02521	8	10	53	26	39	29
Gene_02522	7	83	15	27	0	5
Gene_02523	16	22	159	106	120	49
Gene_02524	168	166	275	340	77	84
Gene_02525	91	54	120	111	413	155
Gene_02526	2	0	2	0	0	1
Gene_02527	9	5	0	0	5	0
Gene_02528	16	16	39	25	57	19
Gene_02529	12	2	32	8	12	10
Gene_02530	1	0	4	0	0	0
Gene_02531	120	99	461	176	428	95
Gene_02532	8	7	76	3	6	2
Gene_02533	12	5	30	21	23	13
Gene_02534	30	28	57	19	31	26
Gene_02535	81	84	579	188	158	110
Gene_02536	43	26	110	192	72	136
Gene_02537	54	44	116	59	47	75
Gene_02538	0	0	0	0	6	0
Gene_02539	310	321	840	804	529	176
Gene_02540	6	6	11	1	13	20
Gene_02541	4	0	9	1	0	2
Gene_02542	0	0	0	0	0	33
Gene_02543	49	51	268	162	148	86
Gene_02544	131	242	131	54	242	99
Gene_02545	11	4	17	4	11	2
Gene_02546	7	12	18	0	2	7
Gene_02547	7	0	8	0	12	2
Gene_02548	1	1	1	0	0	0
Gene_02549	228	153	355	649	129	179
Gene_02550	93	146	367	1472	1398	201
Gene_02551	340	292	1514	755	997	657
Gene_02552	143	41	96	67	74	200
Gene_02553	7	30	172	107	14	3
Gene_02554	68	31	24	92	64	95
Gene_02555	0	0	0	0	418	34
Gene_02556	217	158	69	2	477	254
Gene_02557	45	34	106	117	61	83
Gene_02558	0	0	0	0	0	1
Gene_02559	8	1	4	18	7	0
Gene_02560	2	0	7	1	1	0
Gene_02561	220	154	254	359	806	129
Gene_02562	0	0	0	0	1	2
Gene_02563	13	23	139	76	96	107
Gene_02564	64	68	169	196	177	107
Gene_02565	157	123	169	210	455	204
Gene_02566	0	0	2	0	0	0
Gene_02567	31	9	115	12	34	77
Gene_02568	27	22	52	88	39	30
Gene_02569	105	72	288	202	139	132
Gene_02570	1043	1161	3361	681	2100	1398
Gene_02571	46	46	34	35	57	72
Gene_02572	6	6	24	11	42	6
Gene_02573	966	1176	2768	5375	4714	2278
Gene_02574	786	779	1627	2618	3049	896
Gene_02575	18	11	7	0	8	0
Gene_02576	18	14	42	46	37	12
Gene_02577	0	0	0	0	0	3
Gene_02578	19	36	88	77	51	30
Gene_02579	0	0	0	0	1	0
Gene_02580	0	0	1	0	0	5
Gene_02581	4	9	1	0	59	96
Gene_02582	55	32	28	66	10	51
Gene_02583	0	1	19	16	0	87
Gene_02584	99	141	244	35	18	34
Gene_02585	65	57	110	67	36	68
Gene_02586	46	61	349	121	284	161
Gene_02587	121	194	300	520	466	218
Gene_02588	2	1	0	5	56	17
Gene_02589	192	66	185	40	202	347
Gene_02590	7	9	0	10	2	2
Gene_02591	811	470	1212	1624	1248	987
Gene_02592	27	9	140	0	46	32
Gene_02593	9	10	25	11	26	13
Gene_02594	0	0	1	0	0	0
Gene_02595	85	60	240	113	311	124
Gene_02596	10	1	62	66	23	10
Gene_02597	139	104	94	480	84	63
Gene_02598	202	101	334	83	165	150
Gene_02599	1	3	28	61	22	6
Gene_02600	14	18	1	0	21	12
Gene_02601	1	2	5	0	5	1
Gene_02602	96	63	457	181	321	186
Gene_02603	5	2	8	16	2	6
Gene_02604	414	175	117	1	39	236
Gene_02605	318	217	427	514	496	155
Gene_02606	0	0	0	0	0	2
Gene_02607	1	0	1	0	0	0
Gene_02608	44	23	12	0	0	1
Gene_02609	25	14	7	7	40	61
Gene_02610	1	0	17	0	4	3
Gene_02611	123	30	0	0	148	65
Gene_02612	0	0	5	14	0	0
Gene_02613	25	36	0	8	0	8
Gene_02614	0	0	7	1	0	1
Gene_02615	5	3	5	3	3	3
Gene_02616	39	23	213	39	34	23
Gene_02617	5	0	7	9	8	6
Gene_02618	2	0	3	0	0	1
Gene_02619	30	28	30	67	16	27
Gene_02620	3	4	74	145	14	14
Gene_02621	0	11	9	1	10	4
Gene_02622	0	0	0	14	0	4
Gene_02623	39	21	62	30	52	41
Gene_02624	4	5	7	0	0	0
Gene_02625	0	0	58	60	5	13
Gene_02626	42	31	56	65	98	70
Gene_02627	10	12	17	22	13	20
Gene_02628	47	67	109	173	183	50
Gene_02629	71	67	95	110	57	60
Gene_02630	0	0	0	0	1	0
Gene_02631	11	14	27	0	0	4
Gene_02632	83	55	1	409	0	41
Gene_02633	29	11	14	0	20	5
Gene_02634	41	50	89	85	28	15
Gene_02635	117	92	239	126	734	126
Gene_02636	467	485	418	201	976	215
Gene_02637	0	0	1	1	0	1
Gene_02638	179	81	367	50	163	156
Gene_02639	114	64	128	57	100	100
Gene_02640	47	14	19	1	30	17
Gene_02641	95	59	330	118	94	122
Gene_02642	195	200	266	247	413	237
Gene_02643	2311	2358	59	624	554	57
Gene_02644	96	55	210	350	293	82
Gene_02645	123	97	588	355	603	215
Gene_02646	0	0	0	0	55	10
Gene_02647	57	56	137	217	213	74
Gene_02648	6	7	3	2	2	2
Gene_02649	22	11	33	33	60	30
Gene_02650	9	4	23	0	2	8
Gene_02651	57	63	360	442	99	26
Gene_02652	0	0	1	5	0	5
Gene_02653	125	255	530	58	203	134
Gene_02654	51	44	428	46	27	23
Gene_02655	103	79	6	156	83	24
Gene_02656	1571	1052	204	2212	149	165
Gene_02657	6	6	4	12	0	13
Gene_02658	23	22	94	12	22	12
Gene_02659	596	462	421	124	1182	198
Gene_02660	183	133	604	475	663	236
Gene_02661	40	25	82	56	73	45
Gene_02662	38	38	188	151	175	152
Gene_02663	24	12	146	25	0	5
Gene_02664	57	29	217	117	131	84
Gene_02665	32	42	42	65	51	25
Gene_02666	459	355	2037	1118	2384	1188
Gene_02667	378	308	1732	1139	734	944
Gene_02668	0	1	0	0	6	0
Gene_02669	14	33	49	119	25	84
Gene_02670	1	1	2	4	2	3
Gene_02671	4	3	6	0	30	7
Gene_02672	5	26	83	260	3	9
Gene_02673	18	23	22	57	65	40
Gene_02674	2	2	0	0	0	2
Gene_02675	12	1	20	40	25	15
Gene_02676	32	21	145	27	51	33
Gene_02677	62	52	104	39	28	49
Gene_02678	123	179	93	96	75	69
Gene_02679	43	26	87	6	45	50
Gene_02680	472	386	1642	1448	1395	870
Gene_02681	134	94	243	238	299	198
Gene_02682	95	64	167	88	172	113
Gene_02683	26	45	50	40	79	29
Gene_02684	0	1	0	0	0	0
Gene_02685	27	15	2	2	105	40
Gene_02686	51	49	191	154	68	98
Gene_02687	43	41	89	80	334	204
Gene_02688	10	16	59	27	102	15
Gene_02689	21	12	22	72	6	7
Gene_02690	53	31	256	126	100	61
Gene_02691	137	135	644	33	195	90
Gene_02692	84	63	332	122	291	122
Gene_02693	31	31	38	38	77	24
Gene_02694	78	37	21	8	107	14
Gene_02695	93	42	44	129	219	145
Gene_02696	2	3	13	0	39	4
Gene_02697	0	0	12	0	0	2
Gene_02698	14	12	114	149	63	18
Gene_02699	14	10	28	7	9	6
Gene_02700	0	12	8	3	2	5
Gene_02701	2611	2150	6856	8961	5654	6508
Gene_02702	47	50	210	77	27	66
Gene_02703	22	45	2	0	0	0
Gene_02704	41	51	85	43	36	52
Gene_02705	17	16	49	489	98	133
Gene_02706	25	19	36	39	1	17
Gene_02707	0	0	1	0	0	0
Gene_02708	37	19	54	34	34	49
Gene_02709	58	53	0	11	195	204
Gene_02710	27	25	33	16	21	13
Gene_02711	0	0	0	0	9	0
Gene_02712	3	0	2	5	15	10
Gene_02713	3	1	11	49	0	0
Gene_02714	20	15	44	20	81	27
Gene_02715	28	23	49	67	24	47
Gene_02716	118	103	289	87	87	99
Gene_02717	14	17	15	32	35	14
Gene_02718	71	82	326	17	77	59
Gene_02719	6	1	0	0	12	8
Gene_02720	29	12	51	54	47	34
Gene_02721	179	393	123	227	491	146
Gene_02722	61	63	481	308	244	69
Gene_02723	0	0	0	1	0	0
Gene_02724	38	13	127	31	41	80
Gene_02725	0	0	5	1	1	2
Gene_02726	1	2	3	20	28	55
Gene_02727	45	41	515	466	77	15
Gene_02728	1	3	6	0	0	0
Gene_02729	6	6	11	13	0	26
Gene_02730	65	75	92	104	68	97
Gene_02731	74	104	139	67	69	20
Gene_02732	9	3	31	0	6	37
Gene_02733	6	4	20	18	1	12
Gene_02734	78	142	44	26	141	104
Gene_02735	21	11	46	1	17	5
Gene_02736	0	0	0	0	0	15
Gene_02737	0	3	2	0	0	0
Gene_02738	24	22	0	0	0	0
Gene_02739	12	5	14	8	5	15
Gene_02740	157	125	1301	963	812	188
Gene_02741	0	0	1	0	0	0
Gene_02742	24	28	153	95	3	15
Gene_02743	4	1	4	2	6	4
Gene_02744	29	14	13	37	32	60
Gene_02745	24	6	42	4	27	38
Gene_02746	0	0	0	0	1	2
Gene_02747	450	204	1231	737	987	1308
Gene_02748	0	0	0	46	0	1
Gene_02749	33	26	29	44	60	14
Gene_02750	48	76	120	108	109	19
Gene_02751	84	74	206	177	197	121
Gene_02752	581	411	1590	2589	3047	1423
Gene_02753	214	197	138	147	306	148
Gene_02754	15	19	12	14	60	6
Gene_02755	323	285	1693	1065	836	601
Gene_02756	6	9	2	0	7	9
Gene_02757	42	71	214	16	73	39
Gene_02758	0	1	1	23	2	11
Gene_02759	383	598	670	492	839	159
Gene_02760	6	3	3	0	19	15
Gene_02761	347	325	827	1026	1095	462
Gene_02762	350	222	608	149	325	198
Gene_02763	1	1	11	25	0	0
Gene_02764	25	7	75	7	57	51
Gene_02765	108	131	470	236	578	116
Gene_02766	0	0	2	0	0	0
Gene_02767	76	58	97	88	92	30
Gene_02768	84	82	169	160	263	147
Gene_02769	0	0	0	0	0	1
Gene_02770	1	1	1	0	5	0
Gene_02771	73	47	303	143	114	159
Gene_02772	0	0	0	0	0	7
Gene_02773	3	3	17	14	19	5
Gene_02774	20	15	87	64	75	62
Gene_02775	164	147	271	54	287	123
Gene_02776	0	0	0	0	10	1
Gene_02777	37	36	65	22	35	27
Gene_02778	4	12	51	27	0	24
Gene_02779	3	6	6	2	0	0
Gene_02780	15	9	9	1	31	9
Gene_02781	2	2	3	13	64	25
Gene_02782	40	26	26	92	18	20
Gene_02783	0	0	0	1	0	0
Gene_02784	129	318	0	0	0	2
Gene_02785	526	665	1124	2067	4309	1113
Gene_02786	2	1	10	3	0	2
Gene_02787	303	384	294	280	339	227
Gene_02788	8	3	28	13	1	6
Gene_02789	4	4	0	0	9	45
Gene_02790	4	1	5	2	9	6
Gene_02791	5	5	639	199	164	112
Gene_02792	68	41	162	21	133	114
Gene_02793	565	515	276	659	449	364
Gene_02794	33	12	65	16	4	20
Gene_02795	44	19	77	23	98	47
Gene_02796	1	4	6	15	1	9
Gene_02797	18	13	233	68	125	58
Gene_02798	29	22	264	102	84	99
Gene_02799	332	313	572	105	269	118
Gene_02800	5961	7833	10303	15709	17405	10946
Gene_02801	0	1	3	1	2	6
Gene_02802	222	129	494	308	385	338
Gene_02803	0	0	0	1	172	49
Gene_02804	1	3	25	32	0	0
Gene_02805	2	0	0	0	13	0
Gene_02806	3	1	65	59	21	37
Gene_02807	553	325	9	72	657	216
Gene_02808	0	0	1	0	0	0
Gene_02809	71	36	86	17	93	42
Gene_02810	22	13	4	2	4	5
Gene_02811	3	1	5	0	0	5
Gene_02812	44	93	85	89	8	43
Gene_02813	3	1	3	5	3	4
Gene_02814	0	0	4	6	0	0
Gene_02815	12	23	51	46	7	11
Gene_02816	0	0	0	1	0	0
Gene_02817	4	4	0	0	0	0
Gene_02818	175	145	669	434	449	202
Gene_02819	6	5	20	10	22	5
Gene_02820	0	1	1	0	17	1
Gene_02821	2	1	4	0	17	15
Gene_02822	590	237	549	990	2521	1542
Gene_02823	12	12	14	3	2	67
Gene_02824	36	26	111	45	30	36
Gene_02825	733	741	551	364	104	91
Gene_02826	9	9	31	35	11	15
Gene_02827	39	44	116	41	13	34
Gene_02828	7	7	3	0	9	2
Gene_02829	81	103	51	652	120	80
Gene_02830	323	340	492	130	384	93
Gene_02831	44	49	124	64	86	49
Gene_02832	0	0	0	0	0	5
Gene_02833	3	3	5	0	8	12
Gene_02834	19	49	373	231	346	401
Gene_02835	170	148	330	336	329	154
Gene_02836	66	54	142	117	189	223
Gene_02837	1914	1292	5023	5310	3997	3647
Gene_02838	74	18	171	5	69	45
Gene_02839	6	1	0	0	0	0
Gene_02840	1033	624	367	2020	236	334
Gene_02841	301	433	829	1434	1110	454
Gene_02842	365	386	483	317	442	201
Gene_02843	0	0	7	0	0	2
Gene_02844	487	451	298	1434	1238	656
Gene_02845	1	0	7	4	6	4
Gene_02846	37	38	84	115	93	45
Gene_02847	43	39	69	32	120	80
Gene_02848	234	319	934	579	297	163
Gene_02849	21	11	0	11	41	46
Gene_02850	0	1	2	2	0	2
Gene_02851	3	7	19	0	0	1
Gene_02852	46	57	153	214	258	114
Gene_02853	137	150	569	244	760	140
Gene_02854	0	0	2	0	0	2
Gene_02855	61	95	127	226	274	58
Gene_02856	18	23	113	264	51	97
Gene_02857	73	72	207	56	335	106
Gene_02858	123	96	399	322	132	85
Gene_02859	120	56	134	279	460	382
Gene_02860	7	4	36	8	8	30
Gene_02861	11	8	25	180	26	13
Gene_02862	18	2	44	70	84	28
Gene_02863	4603	3346	3563	2162	4142	4331
Gene_02864	32	24	0	36	0	1
Gene_02865	0	0	1	1	0	0
Gene_02866	0	0	23	4	0	8
Gene_02867	66	81	5	387	1066	1774
Gene_02868	1	1	4	32	0	3
Gene_02869	13	2	34	135	48	15
Gene_02870	61	62	983	758	106	91
Gene_02871	72	103	77	196	370	236
Gene_02872	0	0	1	0	0	0
Gene_02873	1	0	8	0	4	0
Gene_02874	118	73	10	9	218	33
Gene_02875	10	7	2	13	3	10
Gene_02876	3	3	14	24	26	4
Gene_02877	550	435	3652	1084	2372	615
Gene_02878	13	32	30	25	11	5
Gene_02879	120	104	236	513	393	152
Gene_02880	19	30	43	13	0	7
Gene_02881	17	18	20	157	39	6
Gene_02882	78	207	116	59	88	87
Gene_02883	30	24	120	116	39	92
Gene_02884	16	9	12	16	12	3
Gene_02885	244	184	280	709	885	617
Gene_02886	4229	4163	13490	5291	10858	3631
Gene_02887	609	419	1724	1493	1329	950
Gene_02888	0	0	0	0	26	0
Gene_02889	14	2	210	52	121	98
Gene_02890	1	2	15	123	1	7
Gene_02891	12	19	96	41	74	37
Gene_02892	0	0	0	0	0	7
Gene_02893	8	2	16	11	12	8
Gene_02894	16	9	7	4	450	12
Gene_02895	6	3	9	5	19	29
Gene_02896	0	0	0	0	0	1
Gene_02897	1	0	0	35	0	0
Gene_02898	322	330	820	995	403	385
Gene_02899	27	15	45	120	190	98
Gene_02900	27	30	45	467	27	32
Gene_02901	14	5	9	0	2	4
Gene_02902	15	14	123	153	86	82
Gene_02903	11	3	4	4	29	9
Gene_02904	5	4	3	0	21	17
Gene_02905	123	183	277	76	399	183
Gene_02906	16	13	31	51	45	25
Gene_02907	38	39	346	194	86	34
Gene_02908	3	3	5	0	0	0
Gene_02909	42	27	578	415	266	124
Gene_02910	58	58	298	77	40	46
Gene_02911	2	3	0	0	0	0
Gene_02912	3	1	1	0	8	10
Gene_02913	22	9	84	43	43	51
Gene_02914	10	7	3	3	27	1
Gene_02915	113	58	654	776	282	215
Gene_02916	1	0	0	4	0	0
Gene_02917	870	831	1212	311	430	553
Gene_02918	51	36	108	184	213	135
Gene_02919	76	51	217	26	223	80
Gene_02920	202	284	1784	1143	572	225
Gene_02921	90	41	300	277	753	235
Gene_02922	8	1	0	0	0	0
Gene_02923	47	10	2	1	42	40
Gene_02924	371	543	965	2671	1037	365
Gene_02925	4	8	14	0	0	15
Gene_02926	11	13	14	44	3	2
Gene_02927	18	22	36	33	33	14
Gene_02928	2	2	19	5	19	5
Gene_02929	299	283	194	406	423	310
Gene_02930	81	83	136	83	353	127
Gene_02931	212	144	610	315	212	126
Gene_02932	2	2	3	0	0	1
Gene_02933	27	17	91	24	21	91
Gene_02934	0	1	5	4	0	4
Gene_02935	10	7	40	32	29	15
Gene_02936	98	77	184	64	95	96
Gene_02937	26	40	5	150	10	63
Gene_02938	3	0	0	0	6	8
Gene_02939	100	88	176	551	132	143
Gene_02940	77	41	116	58	145	116
Gene_02941	28	26	84	62	70	34
Gene_02942	81	26	10	22	0	41
Gene_02943	49	37	34	2	43	34
Gene_02944	35	18	14	29	6	13
Gene_02945	103	33	279	18	161	38
Gene_02946	0	0	0	0	0	1
Gene_02947	3	2	30	12	20	12
Gene_02948	2	1	8	0	0	2
Gene_02949	42	3	87	5	33	23
Gene_02950	5	0	13	27	6	44
Gene_02951	22	6	14	2	2	15
Gene_02952	2	0	0	4	0	3
Gene_02953	2	4	82	223	9	5
Gene_02954	65	33	67	13	33	38
Gene_02955	6	5	0	548	591	107
Gene_02956	0	0	2	0	0	0
Gene_02957	8	8	42	41	13	27
Gene_02958	1	0	0	0	0	0
Gene_02959	16	10	54	18	30	12
Gene_02960	3	0	3	4	411	66
Gene_02961	0	0	1	2	0	0
Gene_02962	61	40	112	1	62	26
Gene_02963	67	44	443	226	265	93
Gene_02964	35	6	156	3	25	32
Gene_02965	143	230	624	663	309	126
Gene_02966	6	4	16	18	8	16
Gene_02967	39	14	132	93	10	62
Gene_02968	0	0	3	11	0	0
Gene_02969	0	0	4	0	0	0
Gene_02970	325	375	1395	1501	984	1287
Gene_02971	70	57	39	97	0	20
Gene_02972	140	103	318	405	339	231
Gene_02973	85	63	109	192	316	103
Gene_02974	4	2	3	5	1	2
Gene_02975	19	37	77	124	41	38
Gene_02976	0	0	67	0	49	17
Gene_02977	5	0	51	17	26	12
Gene_02978	1718	602	1378	1986	4777	858
Gene_02979	348	288	697	533	429	285
Gene_02980	3	0	3	6	5	5
Gene_02981	0	0	1	0	0	2
Gene_02982	12	17	44	32	24	20
Gene_02983	350	397	2961	919	2564	1851
Gene_02984	2	5	0	1	8	3
Gene_02985	0	0	0	0	0	2
Gene_02986	20	18	132	111	144	94
Gene_02987	5	4	3	9	2	55
Gene_02988	277	257	451	414	846	224
Gene_02989	158	76	206	13	133	199
Gene_02990	0	0	0	1	0	2
Gene_02991	105	112	96	162	85	40
Gene_02992	1	6	1	0	0	0
Gene_02993	176	126	345	477	473	466
Gene_02994	92	64	118	39	110	93
Gene_02995	3	0	22	12	0	1
Gene_02996	1	0	0	0	0	0
Gene_02997	52	36	50	14	134	99
Gene_02998	11	3	10	14	15	7
Gene_02999	11	6	24	4	11	1
Gene_03000	8	6	29	2	12	1
Gene_03001	9	8	0	0	0	0
Gene_03002	2	0	32	41	0	4
Gene_03003	39	27	0	0	207	33
Gene_03004	9	4	38	18	48	8
Gene_03005	3	0	0	0	5	2
Gene_03006	183	258	558	805	1307	366
Gene_03007	13	2	36	16	8	6
Gene_03008	7	23	0	15	168	89
Gene_03009	4	3	23	0	3	4
Gene_03010	7	4	11	2	5	2
Gene_03011	36	6	47	12	22	27
Gene_03012	235	194	450	659	1142	309
Gene_03013	99	105	370	528	245	203
Gene_03014	28	16	89	68	15	49
Gene_03015	0	0	8	0	1	1
Gene_03016	206	247	714	170	277	152
Gene_03017	114	62	225	160	214	140
Gene_03018	2	8	8	17	0	4
Gene_03019	9	3	47	0	3	14
Gene_03020	626	608	3068	946	774	1047
Gene_03021	12	3	27	2	0	8
Gene_03022	12	14	79	49	35	28
Gene_03023	65	41	90	6	43	46
Gene_03024	785	838	3211	1468	1703	484
Gene_03025	2	1	0	0	0	2
Gene_03026	1	1	21	5	37	6
Gene_03027	20	18	109	231	50	109
Gene_03028	18	11	11	15	12	25
Gene_03029	157	143	408	77	138	116
Gene_03030	20	27	24	16	11	21
Gene_03031	2	7	0	0	0	0
Gene_03032	89	103	549	263	685	611
Gene_03033	2	0	5	20	3	3
Gene_03034	4	4	11	0	0	26
Gene_03035	818	696	964	2359	1562	1271
Gene_03036	1	0	1	0	0	1
Gene_03037	1	0	0	4	0	0
Gene_03038	0	0	9	0	0	16
Gene_03039	27	21	45	62	93	64
Gene_03040	1	0	1	0	0	1
Gene_03041	0	0	0	0	1	0
Gene_03042	2	0	0	0	0	0
Gene_03043	72	100	203	45	165	32
Gene_03044	0	0	1	0	0	0
Gene_03045	0	0	0	0	1	0
Gene_03046	115	83	490	409	216	164
Gene_03047	0	0	4	13	0	9
Gene_03048	70	44	38	171	146	61
Gene_03049	2	3	13	11	11	2
Gene_03050	0	0	4	1	1	5
Gene_03051	1	12	114	54	33	14
Gene_03052	38	18	61	66	22	71
Gene_03053	3	1	15	2	3	8
Gene_03054	40	16	94	29	130	107
Gene_03055	0	0	1	0	17	14
Gene_03056	0	0	3	0	15	26
Gene_03057	42	18	35	107	93	31
Gene_03058	13	11	21	8	61	21
Gene_03059	0	0	1	21	17	5
Gene_03060	56	37	83	276	46	41
Gene_03061	18	8	15	10	13	7
Gene_03062	0	0	1	0	0	0
Gene_03063	21	11	74	80	66	22
Gene_03064	50	38	142	63	49	54
Gene_03065	3	0	35	0	0	3
Gene_03066	21	18	109	165	278	146
Gene_03067	84	59	100	130	45	167
Gene_03068	14	18	25	29	41	73
Gene_03069	31	23	41	68	107	29
Gene_03070	278	216	527	51	533	150
Gene_03071	0	0	0	0	0	2
Gene_03072	222	319	3	1	6	14
Gene_03073	305	303	987	207	575	483
Gene_03074	7	14	13	16	42	8
Gene_03075	36	12	6	0	38	15
Gene_03076	0	0	0	0	1	8
Gene_03077	294	224	112	143	1194	646
Gene_03078	26	9	109	101	69	53
Gene_03079	19	21	50	55	35	22
Gene_03080	75	92	143	49	241	100
Gene_03081	2	1	3	8	6	2
Gene_03082	76	65	142	93	65	42
Gene_03083	8	13	11	0	4	1
Gene_03084	298	149	465	1308	6563	916
Gene_03085	43	53	263	197	138	90
Gene_03086	14	19	38	82	20	17
Gene_03087	104	82	47	26	108	49
Gene_03088	55	41	37	21	30	38
Gene_03089	31	10	0	1	33	31
Gene_03090	18	4	7	8	35	5
Gene_03091	11	6	23	1	3	9
Gene_03092	1173	964	2797	2425	1528	3030
Gene_03093	1	1	18	10	0	1
Gene_03094	47	41	67	163	155	80
Gene_03095	2	4	1	0	2	0
Gene_03096	81	80	278	214	178	212
Gene_03097	1	1	0	1	4	0
